,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
3101,Mahindra,Thar,Mahindra Thar,CRDe 4x4 Non AC,8.04,2017-05-01,5,2017,45562.0,Diesel,13.28,Manual,Black,Second,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
1050,Audi,A6,Audi A6,2.0 TDI Premium,14.5,2012-06-01,6,2012,52500.0,Diesel,16.66,Automatic,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
787,Mitsubishi,Outlander,Mitsubishi Outlander,2.4 MIVEC,6.45,2009-09-01,9,2009,58000.0,Petrol,8.0,Automatic,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2434,Hyundai,Creta,Hyundai Creta,SX 1.6 AT CRDi,15.5,2018-05-01,5,2018,48982.0,Diesel,17.01,Automatic,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.4
1837,BMW,5-Series,BMW 5-Series,520d Sedan,30.0,2016-06-01,6,2016,74000.0,Diesel,18.48,Automatic,White,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
4267,Honda,City,Honda City,V,9.79,2018-06-01,6,2018,19580.0,Petrol,15.84,Manual,Brown,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
4140,Mercedes-Benz,M-Class,Mercedes-Benz M-Class,ML 350 CDI,21.0,2013-06-01,6,2013,90000.0,Diesel,15.26,Automatic,Black,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
5301,Toyota,Fortuner,Toyota Fortuner,3.0 4x2 MT,12.5,2013-09-01,9,2013,123000.0,Diesel,11.9,Manual,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
933,BMW,X5,BMW X5,SAV 3.0d,45.0,2016-08-01,8,2016,48800.0,Diesel,16.45,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1316,Mercedes-Benz,EQC,Mercedes-Benz EQC,400 4MATIC,79.0,2020-01-01,1,2020,21400.0,Electric,17.76,Automatic,Silver,First,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
912,BMW,6-Series GT,BMW 6-Series GT,630d M Sport [2018-2019],68.0,2019-07-01,7,2019,14700.0,Diesel,15.05,Automatic,Black,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2537,Renault,Pulse,Renault Pulse,RxL ABS Diesel [2015-2017],4.35,2016-01-01,1,2016,35566.0,Diesel,23.1,Manual,Silver,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.2
5106,Mahindra,Scorpio,Mahindra Scorpio,S9 2WD 7 STR,14.9,2019-06-01,6,2019,80000.0,Diesel,15.0,Manual,Black,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
4189,Honda,CR-V,Honda CR-V,2.4L 4WD AVN,11.9,2013-06-01,6,2013,95000.0,Petrol,12.0,Automatic,White,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
1080,Ford,Fiesta,Ford Fiesta,Titanium+ Diesel [2011-2014],2.5,2011-06-01,6,2011,74000.0,Diesel,23.5,Manual,Maroon,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2416,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,VXI+,3.13,2014-05-01,5,2014,33309.0,Petrol,20.5,Manual,Grey,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
3051,Volvo,XC60,Volvo XC60,Kinetic,23.5,2017-06-01,6,2017,140000.0,Diesel,14.7,Automatic,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
